MONTH,Local_average_K,Import_average_K,Local_average_T,Import_average_T
1,16.75,2.181818182,2.777777778,0.444444444
2,3,2,0.222222222,0.888888889
3,2.666666667,1.444444444,0.222222222,0.222222222
4,3.666666667,1.909090909,0.277777778,0.555555556
5,8,1.583333333,0.666666667,0.5
6,31.22222222,1.533333333,3.5,0.833333333
7,90.76923077,3.214285714,25.11111111,1.055555556
8,205.4285714,3.384615385,237.6111111,1.944444444
9,415.4666667,3.454545455,750.5555556,1.555555556
10,859.8,2.846153846,330.5,1.5
11,1075.133333,2.75,95,1.222222222
12,351.2,2.090909091,20.5,0.888888889
